HELIUM_000100422_612GNAAXX:7:103:14703:19588#0/1_sub[28..127],1,9850,Cervidae,family,1
HELIUM_000100422_612GNAAXX:7:103:15553:20111#0/1_sub[28..127],1,9850,Cervidae,family,0.99
HELIUM_000100422_612GNAAXX:7:103:17280:14253#0/1_sub[28..126],1,9611,Canis,genus,0.9117647058823529
HELIUM_000100422_612GNAAXX:7:103:8581:8621#0/1_sub[28..127],1,9850,Cervidae,family,0.99
HELIUM_000100422_612GNAAXX:7:104:10267:11548#0/1_sub[28..127],1,9881,Odocoileinae,subfamily,0.97
HELIUM_000100422_612GNAAXX:7:104:10956:5411#0/1_sub[28..127],1,9881,Odocoileinae,subfamily,0.9801980198019802
HELIUM_000100422_612GNAAXX:7:104:13602:6826#0/1_sub[28..127],1,9850,Cervidae,family,0.98
HELIUM_000100422_612GNAAXX:7:104:15020:15985#0/1_sub[28..127],1,9850,Cervidae,family,0.97
HELIUM_000100422_612GNAAXX:7:104:1632:12946#0/1_sub[28..127],1,9881,Odocoileinae,subfamily,1
HELIUM_000100422_612GNAAXX:7:104:16437:19197#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:104:18765:4925#0/1_sub[28..127],1,9881,Odocoileinae,subfamily,0.98
HELIUM_000100422_612GNAAXX:7:104:18909:20273#0/1_sub[28..127],1,9881,Odocoileinae,subfamily,0.99
HELIUM_000100422_612GNAAXX:7:104:18926:3406#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:104:19324:15970#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.98
HELIUM_000100422_612GNAAXX:7:104:2786:20074#0/1_sub[28..126],1,55153,Sciuridae,family,0.8431372549019608
HELIUM_000100422_612GNAAXX:7:104:7660:15259#0/1_sub[28..126],1,55153,Sciuridae,family,0.9696969696969697
HELIUM_000100422_612GNAAXX:7:104:9510:11537#0/1_sub[28..127],1,9881,Odocoileinae,subfamily,0.9702970297029703
HELIUM_000100422_612GNAAXX:7:105:11647:19924#0/1_sub[28..127],1,9881,Odocoileinae,subfamily,0.99
HELIUM_000100422_612GNAAXX:7:105:13670:14357#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.98
HELIUM_000100422_612GNAAXX:7:105:13917:15424#0/1_sub[28..127],1,34878,Cervinae,subfamily,1
